ticker,name,sector,market_cap_usd,adv_usd
BMY,Bristol Myers Squibb,Health Care,0,0
AVGO,Broadcom,Technology,0,0
BR,Broadridge Financial Solutions,Industrials,0,0
BRO,Brown & Brown,Financial Services,0,0
BF-B,Brown–Forman,Consumer Defensive,0,0
BLDR,Builders FirstSource,Industrials,0,0
BG,Bunge Global,Consumer Defensive,0,0
BXP,"BXP, Inc.",Real Estate,0,0
CHRW,C.H. Robinson,Industrials,0,0
CDNS,Cadence Design Systems,Technology,0,0
CPT,Camden Property Trust,Real Estate,0,0
CPB,Campbell's Company (The),Consumer Defensive,0,0
COF,Capital One,Financial Services,0,0
CAH,Cardinal Health,Health Care,0,0
CCL,Carnival Corporation,Consumer Cyclical,0,0
CARR,Carrier Global,Industrials,0,0
CVNA,Carvana,Consumer Cyclical,0,0
CASY,Casey's,Consumer Defensive,0,0
CAT,Caterpillar Inc.,Industrials,0,0
CBOE,Cboe Global Markets,Financial Services,0,0
CBRE,CBRE Group,Real Estate,0,0
CDW,CDW Corporation,Technology,0,0
COR,Cencora,Health Care,0,0
CNC,Centene Corporation,Health Care,0,0
CNP,CenterPoint Energy,Utilities,0,0
CF,CF Industries,Basic Materials,0,0
CRL,Charles River Laboratories,Health Care,0,0
SCHW,Charles Schwab Corporation,Financial Services,0,0
CHTR,Charter Communications,Communication Services,0,0
CVX,Chevron Corporation,Energy,0,0
CMG,Chipotle Mexican Grill,Consumer Cyclical,0,0
CB,Chubb Limited,Financial Services,0,0
CHD,Church & Dwight,Consumer Defensive,0,0
CIEN,Ciena,Technology,0,0
CI,Cigna,Health Care,0,0
CINF,Cincinnati Financial,Financial Services,0,0
CTAS,Cintas,Industrials,0,0
CSCO,Cisco,Technology,0,0
C,Citigroup,Financial Services,0,0
CFG,Citizens Financial Group,Financial Services,0,0
CLX,Clorox,Consumer Defensive,0,0
CME,CME Group,Financial Services,0,0
CMS,CMS Energy,Utilities,0,0
KO,Coca-Cola Company (The),Consumer Defensive,0,0
CTSH,Cognizant,Technology,0,0
COHR,Coherent Corp.,Technology,0,0
COIN,Coinbase,Financial Services,0,0
CL,Colgate-Palmolive,Consumer Defensive,0,0
CMCSA,Comcast,Communication Services,0,0
FIX,Comfort Systems USA,Industrials,0,0
CAG,Conagra Brands,Consumer Defensive,0,0
COP,ConocoPhillips,Energy,0,0
ED,Consolidated Edison,Utilities,0,0
STZ,Constellation Brands,Consumer Defensive,0,0
CEG,Constellation Energy,Utilities,0,0
COO,Cooper Companies (The),Health Care,0,0
CPRT,Copart,Industrials,0,0
GLW,Corning Inc.,Technology,0,0
CPAY,Corpay,Financial Services,0,0
CTVA,Corteva,Basic Materials,0,0
CSGP,CoStar Group,Real Estate,0,0
COST,Costco,Consumer Defensive,0,0
CRH,CRH plc,Basic Materials,0,0
CRWD,CrowdStrike,Technology,0,0
CCI,Crown Castle,Real Estate,0,0
CSX,CSX Corporation,Industrials,0,0
CMI,Cummins,Industrials,0,0
CVS,CVS Health,Health Care,0,0
DHR,Danaher Corporation,Health Care,0,0
DRI,Darden Restaurants,Consumer Cyclical,0,0
DDOG,Datadog,Technology,0,0
DVA,DaVita,Health Care,0,0
DECK,Deckers Brands,Consumer Cyclical,0,0
DE,Deere & Company,Industrials,0,0
DELL,Dell Technologies,Technology,0,0
DAL,Delta Air Lines,Industrials,0,0
DVN,Devon Energy,Energy,0,0
DXCM,Dexcom,Health Care,0,0
FANG,Diamondback Energy,Energy,0,0
DLR,Digital Realty,Real Estate,0,0
DG,Dollar General,Consumer Defensive,0,0
DLTR,Dollar Tree,Consumer Defensive,0,0
D,Dominion Energy,Utilities,0,0
DPZ,Domino's,Consumer Cyclical,0,0
DASH,DoorDash,Consumer Cyclical,0,0
DOV,Dover Corporation,Industrials,0,0
DOW,Dow Inc.,Basic Materials,0,0
DHI,D. R. Horton,Consumer Cyclical,0,0
DTE,DTE Energy,Utilities,0,0
DUK,Duke Energy,Utilities,0,0
DD,DuPont,Basic Materials,0,0
ETN,Eaton Corporation,Industrials,0,0
EBAY,eBay Inc.,Consumer Cyclical,0,0
SATS,EchoStar,Communication Services,0,0
ECL,Ecolab,Basic Materials,0,0
EIX,Edison International,Utilities,0,0
EW,Edwards Lifesciences,Health Care,0,0
EA,Electronic Arts,Communication Services,0,0
ELV,Elevance Health,Health Care,0,0
EME,Emcor,Industrials,0,0
EMR,Emerson Electric,Industrials,0,0
ETR,Entergy,Utilities,0,0
EOG,EOG Resources,Energy,0,0
EPAM,EPAM Systems,Technology,0,0
EQT,EQT Corporation,Energy,0,0
EFX,Equifax,Industrials,0,0
EQIX,Equinix,Real Estate,0,0
EQR,Equity Residential,Real Estate,0,0
ERIE,Erie Indemnity,Financial Services,0,0
ESS,Essex Property Trust,Real Estate,0,0
EL,Estée Lauder Companies (The),Consumer Defensive,0,0
EG,Everest Group,Financial Services,0,0
EVRG,Evergy,Utilities,0,0
ES,Eversource Energy,Utilities,0,0
EXC,Exelon,Utilities,0,0
EXE,Expand Energy,Energy,0,0
EXPE,Expedia Group,Consumer Cyclical,0,0
EXPD,Expeditors International,Industrials,0,0
EXR,Extra Space Storage,Real Estate,0,0
XOM,ExxonMobil,Energy,0,0
FFIV,"F5, Inc.",Technology,0,0
FDS,FactSet,Financial Services,0,0
FICO,Fair Isaac,Technology,0,0
FAST,Fastenal,Industrials,0,0
FRT,Federal Realty Investment Trust,Real Estate,0,0
FDX,FedEx,Industrials,0,0
FIS,Fidelity National Information Services,Financial Services,0,0
FITB,Fifth Third Bancorp,Financial Services,0,0
FSLR,First Solar,Technology,0,0
FE,FirstEnergy,Utilities,0,0
FISV,Fiserv,Financial Services,0,0
F,Ford Motor Company,Consumer Cyclical,0,0
FTNT,Fortinet,Technology,0,0
FTV,Fortive,Industrials,0,0
FOXA,Fox Corporation (Class A),Communication Services,0,0
FOX,Fox Corporation (Class B),Communication Services,0,0
BEN,Franklin Resources,Financial Services,0,0
FCX,Freeport-McMoRan,Basic Materials,0,0
GRMN,Garmin,Consumer Cyclical,0,0
IT,Gartner,Technology,0,0
GE,GE Aerospace,Industrials,0,0
GEHC,GE HealthCare,Health Care,0,0
GEV,GE Vernova,Industrials,0,0
GEN,Gen Digital,Technology,0,0
GNRC,Generac,Industrials,0,0
GD,General Dynamics,Industrials,0,0
GIS,General Mills,Consumer Defensive,0,0
GM,General Motors,Consumer Cyclical,0,0
GPC,Genuine Parts Company,Consumer Cyclical,0,0
GILD,Gilead Sciences,Health Care,0,0
GPN,Global Payments,Financial Services,0,0
GL,Globe Life,Financial Services,0,0
GDDY,GoDaddy,Technology,0,0
GS,Goldman Sachs,Financial Services,0,0
HAL,Halliburton,Energy,0,0
HIG,Hartford (The),Financial Services,0,0
HAS,Hasbro,Consumer Cyclical,0,0
HCA,HCA Healthcare,Health Care,0,0
DOC,Healthpeak Properties,Real Estate,0,0
HSIC,Henry Schein,Health Care,0,0
HSY,Hershey Company (The),Consumer Defensive,0,0
HPE,Hewlett Packard Enterprise,Technology,0,0
HLT,Hilton Worldwide,Consumer Cyclical,0,0
HD,Home Depot (The),Consumer Cyclical,0,0
HON,Honeywell,Industrials,0,0
HRL,Hormel Foods,Consumer Defensive,0,0
HST,Host Hotels & Resorts,Real Estate,0,0
HWM,Howmet Aerospace,Industrials,0,0
HPQ,HP Inc.,Technology,0,0
HUBB,Hubbell Incorporated,Industrials,0,0
HUM,Humana,Health Care,0,0
HBAN,Huntington Bancshares,Financial Services,0,0
HII,Huntington Ingalls Industries,Industrials,0,0
IBM,IBM,Technology,0,0
IEX,IDEX Corporation,Industrials,0,0
IDXX,Idexx Laboratories,Health Care,0,0
ITW,Illinois Tool Works,Industrials,0,0
INCY,Incyte,Health Care,0,0
IR,Ingersoll Rand,Industrials,0,0
PODD,Insulet Corporation,Health Care,0,0
INTC,Intel,Technology,0,0
IBKR,Interactive Brokers,Financial Services,0,0
ICE,Intercontinental Exchange,Financial Services,0,0
IFF,International Flavors & Fragrances,Basic Materials,0,0
IP,International Paper,Basic Materials,0,0
INTU,Intuit,Technology,0,0
ISRG,Intuitive Surgical,Health Care,0,0
IVZ,Invesco,Financial Services,0,0
INVH,Invitation Homes,Real Estate,0,0
IQV,IQVIA,Health Care,0,0
IRM,Iron Mountain,Real Estate,0,0
JBHT,J.B. Hunt,Industrials,0,0
JBL,Jabil,Technology,0,0
JKHY,Jack Henry & Associates,Financial Services,0,0
J,Jacobs Solutions,Industrials,0,0
JNJ,Johnson & Johnson,Health Care,0,0
JCI,Johnson Controls,Industrials,0,0
JPM,JPMorgan Chase,Financial Services,0,0
KVUE,Kenvue,Consumer Defensive,0,0
KDP,Keurig Dr Pepper,Consumer Defensive,0,0
KEY,KeyCorp,Financial Services,0,0
KEYS,Keysight Technologies,Technology,0,0
KMB,Kimberly-Clark,Consumer Defensive,0,0
KIM,Kimco Realty,Real Estate,0,0
KMI,Kinder Morgan,Energy,0,0
KKR,KKR & Co.,Financial Services,0,0
KLAC,KLA Corporation,Technology,0,0
KHC,Kraft Heinz,Consumer Defensive,0,0
KR,Kroger,Consumer Defensive,0,0
LHX,L3Harris,Industrials,0,0
LH,Labcorp,Health Care,0,0
LRCX,Lam Research,Technology,0,0
LVS,Las Vegas Sands,Consumer Cyclical,0,0
LDOS,Leidos,Industrials,0,0
LEN,Lennar,Consumer Cyclical,0,0
LII,Lennox International,Industrials,0,0
LLY,Lilly (Eli),Health Care,0,0
LIN,Linde plc,Basic Materials,0,0
LYV,Live Nation Entertainment,Communication Services,0,0
LMT,Lockheed Martin,Industrials,0,0
L,Loews Corporation,Financial Services,0,0
LOW,Lowe's,Consumer Cyclical,0,0
LULU,Lululemon Athletica,Consumer Cyclical,0,0
LITE,Lumentum,Technology,0,0
LYB,LyondellBasell,Basic Materials,0,0
MTB,M&T Bank,Financial Services,0,0
MPC,Marathon Petroleum,Energy,0,0
MAR,Marriott International,Consumer Cyclical,0,0
MRSH,Marsh McLennan,Financial Services,0,0
MLM,Martin Marietta Materials,Basic Materials,0,0
MAS,Masco,Industrials,0,0
MA,Mastercard,Financial Services,0,0
MKC,McCormick & Company,Consumer Defensive,0,0
MCD,McDonald's,Consumer Cyclical,0,0
MCK,McKesson Corporation,Health Care,0,0
MDT,Medtronic,Health Care,0,0
MRK,Merck & Co.,Health Care,0,0
META,Meta Platforms,Communication Services,0,0
MET,MetLife,Financial Services,0,0
MTD,Mettler Toledo,Health Care,0,0
MGM,MGM Resorts,Consumer Cyclical,0,0
MCHP,Microchip Technology,Technology,0,0
MU,Micron Technology,Technology,0,0
MSFT,Microsoft,Technology,0,0
MAA,Mid-America Apartment Communities,Real Estate,0,0
MRNA,Moderna,Health Care,0,0
TAP,Molson Coors Beverage Company,Consumer Defensive,0,0
MDLZ,Mondelez International,Consumer Defensive,0,0
MPWR,Monolithic Power Systems,Technology,0,0
MNST,Monster Beverage,Consumer Defensive,0,0
MCO,Moody's Corporation,Financial Services,0,0
MS,Morgan Stanley,Financial Services,0,0
MOS,Mosaic Company (The),Basic Materials,0,0
MSI,Motorola Solutions,Technology,0,0
MSCI,MSCI Inc.,Financial Services,0,0
NDAQ,"Nasdaq, Inc.",Financial Services,0,0
NTAP,NetApp,Technology,0,0
NFLX,Netflix,Communication Services,0,0
NEM,Newmont,Basic Materials,0,0
NWSA,News Corp (Class A),Communication Services,0,0
NWS,News Corp (Class B),Communication Services,0,0
NEE,NextEra Energy,Utilities,0,0
NKE,"Nike, Inc.",Consumer Cyclical,0,0
NI,NiSource,Utilities,0,0
NDSN,Nordson Corporation,Industrials,0,0
NSC,Norfolk Southern,Industrials,0,0
NTRS,Northern Trust,Financial Services,0,0
NOC,Northrop Grumman,Industrials,0,0
NCLH,Norwegian Cruise Line Holdings,Consumer Cyclical,0,0
NRG,NRG Energy,Utilities,0,0
NUE,Nucor,Basic Materials,0,0
NVDA,Nvidia,Technology,0,0
NVR,"NVR, Inc.",Consumer Cyclical,0,0
NXPI,NXP Semiconductors,Technology,0,0
ORLY,O’Reilly Automotive,Consumer Cyclical,0,0
OXY,Occidental Petroleum,Energy,0,0
ODFL,Old Dominion,Industrials,0,0
OMC,Omnicom Group,Communication Services,0,0
ON,ON Semiconductor,Technology,0,0
OKE,Oneok,Energy,0,0
ORCL,Oracle Corporation,Technology,0,0
OTIS,Otis Worldwide,Industrials,0,0
PCAR,Paccar,Industrials,0,0
PKG,Packaging Corporation of America,Basic Materials,0,0
PLTR,Palantir Technologies,Technology,0,0
PANW,Palo Alto Networks,Technology,0,0
PSKY,Paramount Skydance Corporation,Communication Services,0,0
PH,Parker Hannifin,Industrials,0,0
PAYX,Paychex,Industrials,0,0
PYPL,PayPal,Financial Services,0,0
PNR,Pentair,Industrials,0,0
PEP,PepsiCo,Consumer Defensive,0,0
PFE,Pfizer,Health Care,0,0
PCG,PG&E Corporation,Utilities,0,0
PM,Philip Morris International,Consumer Defensive,0,0
PSX,Phillips 66,Energy,0,0
PNW,Pinnacle West Capital,Utilities,0,0
PNC,PNC Financial Services,Financial Services,0,0
POOL,Pool Corporation,Consumer Cyclical,0,0
PPG,PPG Industries,Basic Materials,0,0
PPL,PPL Corporation,Utilities,0,0
PFG,Principal Financial Group,Financial Services,0,0
PG,Procter & Gamble,Consumer Defensive,0,0
PGR,Progressive Corporation,Financial Services,0,0
PLD,Prologis,Real Estate,0,0
PRU,Prudential Financial,Financial Services,0,0
PEG,Public Service Enterprise Group,Utilities,0,0
PTC,PTC Inc.,Technology,0,0
PSA,Public Storage,Real Estate,0,0
PHM,PulteGroup,Consumer Cyclical,0,0
PWR,Quanta Services,Industrials,0,0
QCOM,Qualcomm,Technology,0,0
DGX,Quest Diagnostics,Health Care,0,0
Q,Qnity Electronics,Technology,0,0
RL,Ralph Lauren Corporation,Consumer Cyclical,0,0
RJF,Raymond James Financial,Financial Services,0,0
RTX,RTX Corporation,Industrials,0,0
O,Realty Income,Real Estate,0,0
REG,Regency Centers,Real Estate,0,0
REGN,Regeneron Pharmaceuticals,Health Care,0,0
RF,Regions Financial Corporation,Financial Services,0,0
RSG,Republic Services,Industrials,0,0
RMD,ResMed,Health Care,0,0
RVTY,Revvity,Health Care,0,0
HOOD,Robinhood Markets,Financial Services,0,0
ROK,Rockwell Automation,Industrials,0,0
ROL,"Rollins, Inc.",Industrials,0,0
ROP,Roper Technologies,Technology,0,0
ROST,Ross Stores,Consumer Cyclical,0,0
RCL,Royal Caribbean Group,Consumer Cyclical,0,0
SPGI,S&P Global,Financial Services,0,0
CRM,Salesforce,Technology,0,0
SNDK,Sandisk,Technology,0,0
SBAC,SBA Communications,Real Estate,0,0
SLB,Schlumberger,Energy,0,0
STX,Seagate Technology,Technology,0,0
SRE,Sempra,Utilities,0,0
NOW,ServiceNow,Technology,0,0
SHW,Sherwin-Williams,Basic Materials,0,0
SPG,Simon Property Group,Real Estate,0,0
SWKS,Skyworks Solutions,Technology,0,0
SJM,J.M. Smucker Company (The),Consumer Defensive,0,0
SW,Smurfit Westrock,Basic Materials,0,0
SNA,Snap-on,Industrials,0,0
SOLV,Solventum,Health Care,0,0
SO,Southern Company,Utilities,0,0
LUV,Southwest Airlines,Industrials,0,0
SWK,Stanley Black & Decker,Industrials,0,0
SBUX,Starbucks,Consumer Cyclical,0,0
STT,State Street Corporation,Financial Services,0,0
STLD,Steel Dynamics,Basic Materials,0,0
STE,Steris,Health Care,0,0
SYK,Stryker Corporation,Health Care,0,0
SMCI,Supermicro,Technology,0,0
SYF,Synchrony Financial,Financial Services,0,0
SNPS,Synopsys,Technology,0,0
SYY,Sysco,Consumer Defensive,0,0
TMUS,T-Mobile US,Communication Services,0,0
TROW,T. Rowe Price,Financial Services,0,0
TTWO,Take-Two Interactive,Communication Services,0,0
TPR,"Tapestry, Inc.",Consumer Cyclical,0,0
TRGP,Targa Resources,Energy,0,0
TGT,Target Corporation,Consumer Defensive,0,0
TEL,TE Connectivity,Technology,0,0
TDY,Teledyne Technologies,Technology,0,0
TER,Teradyne,Technology,0,0
TSLA,"Tesla, Inc.",Consumer Cyclical,0,0
TXN,Texas Instruments,Technology,0,0
TPL,Texas Pacific Land Corporation,Energy,0,0
TXT,Textron,Industrials,0,0
TMO,Thermo Fisher Scientific,Health Care,0,0
TJX,TJX Companies,Consumer Cyclical,0,0
TKO,TKO Group Holdings,Communication Services,0,0
TTD,Trade Desk (The),Communication Services,0,0
TSCO,Tractor Supply,Consumer Cyclical,0,0
TT,Trane Technologies,Industrials,0,0
TDG,TransDigm Group,Industrials,0,0
TRV,Travelers Companies (The),Financial Services,0,0
TRMB,Trimble Inc.,Technology,0,0
TFC,Truist Financial,Financial Services,0,0
TYL,Tyler Technologies,Technology,0,0
TSN,Tyson Foods,Consumer Defensive,0,0
USB,U.S. Bancorp,Financial Services,0,0
UBER,Uber,Industrials,0,0
UDR,"UDR, Inc.",Real Estate,0,0
ULTA,Ulta Beauty,Consumer Cyclical,0,0
UNP,Union Pacific Corporation,Industrials,0,0
UAL,United Airlines Holdings,Industrials,0,0
UPS,United Parcel Service,Industrials,0,0
URI,United Rentals,Industrials,0,0
UNH,UnitedHealth Group,Health Care,0,0
UHS,Universal Health Services,Health Care,0,0
VLO,Valero Energy,Energy,0,0
VEEV,Veeva Systems,Health Care,0,0
VTR,Ventas,Real Estate,0,0
VLTO,Veralto,Industrials,0,0
VRSN,Verisign,Technology,0,0
VRSK,Verisk Analytics,Industrials,0,0
VZ,Verizon,Communication Services,0,0
VRTX,Vertex Pharmaceuticals,Health Care,0,0
VRT,Vertiv,Industrials,0,0
VTRS,Viatris,Health Care,0,0
VICI,Vici Properties,Real Estate,0,0
V,Visa Inc.,Financial Services,0,0
VST,Vistra Corp.,Utilities,0,0
VMC,Vulcan Materials Company,Basic Materials,0,0
WRB,W. R. Berkley Corporation,Financial Services,0,0
GWW,W. W. Grainger,Industrials,0,0
WAB,Wabtec,Industrials,0,0
WMT,Walmart,Consumer Defensive,0,0
DIS,Walt Disney Company (The),Communication Services,0,0
WBD,Warner Bros. Discovery,Communication Services,0,0
WM,Waste Management,Industrials,0,0
WAT,Waters Corporation,Health Care,0,0
WEC,WEC Energy Group,Utilities,0,0
WFC,Wells Fargo,Financial Services,0,0
WELL,Welltower,Real Estate,0,0
WST,West Pharmaceutical Services,Health Care,0,0
WDC,Western Digital,Technology,0,0
WY,Weyerhaeuser,Real Estate,0,0
WSM,"Williams-Sonoma, Inc.",Consumer Cyclical,0,0
WMB,Williams Companies,Energy,0,0
WTW,Willis Towers Watson,Financial Services,0,0
WDAY,"Workday, Inc.",Technology,0,0
WYNN,Wynn Resorts,Consumer Cyclical,0,0
XEL,Xcel Energy,Utilities,0,0
XYL,Xylem Inc.,Industrials,0,0
YUM,Yum! Brands,Consumer Cyclical,0,0
ZBRA,Zebra Technologies,Technology,0,0
ZBH,Zimmer Biomet,Health Care,0,0
ZTS,Zoetis,Health Care,0,0
